year,ch_leader,ch_premier,us_president,us_secretary,uk_minister,fr_president,de_chancellor,jp_minister,kr_president
1983,邓小平,赵紫阳,里根,舒尔茨,撒切尔,密特朗,科尔,中曾根康弘,全斗焕
1984,邓小平,赵紫阳,里根,舒尔茨,撒切尔,密特朗,科尔,中曾根康弘,全斗焕
1985,邓小平,赵紫阳,里根,舒尔茨,撒切尔,密特朗,科尔,中曾根康弘,全斗焕
1986,邓小平,赵紫阳,里根,舒尔茨,撒切尔,密特朗,科尔,中曾根康弘,全斗焕
1987,邓小平,赵紫阳/李鹏,里根,舒尔茨,撒切尔,密特朗,科尔,中曾根康弘/竹下登,全斗焕
1988,邓小平,李鹏,里根,舒尔茨,撒切尔,密特朗,科尔,竹下登,全斗焕/卢泰愚
1989,邓小平/江泽民,李鹏,里根/布什,舒尔茨/贝克,撒切尔,密特朗,科尔,竹下登/宇野宗佑/海部俊树,卢泰愚
1990,江泽民,李鹏,布什,贝克,撒切尔/梅杰,密特朗,科尔,海部俊树,卢泰愚
1991,江泽民,李鹏,布什,贝克,梅杰,密特朗,科尔,海部俊树/宫泽喜一,卢泰愚
1992,江泽民,李鹏,布什,,梅杰,密特朗,科尔,宫泽喜一,卢泰愚
1993,江泽民,李鹏,布什/克林顿,克里斯托弗,梅杰,密特朗,科尔,宫泽喜一/细川护熙,卢泰愚/金泳三
1994,江泽民,李鹏,克林顿,克里斯托弗,梅杰,密特朗,科尔,细川护熙/羽田孜/村山富市,金泳三
1995,江泽民,李鹏,克林顿,克里斯托弗,梅杰,密特朗/希拉克,科尔,村山富市,金泳三
1996,江泽民,李鹏,克林顿,克里斯托弗,梅杰,希拉克,科尔,村山富市/桥本龙太郎,金泳三
1997,江泽民,李鹏,克林顿,克里斯托弗/奥尔布赖特,梅杰/布莱尔,希拉克,科尔,桥本龙太郎,金泳三
1998,江泽民,李鹏/朱镕基,克林顿,奥尔布赖特,布莱尔,希拉克,科尔/施罗德,桥本龙太郎/小渊惠三,金泳三/金大中
1999,江泽民,朱镕基,克林顿,奥尔布赖特,布莱尔,希拉克,施罗德,小渊惠三/se,金大中
2000,江泽民,朱镕基,克林顿,奥尔布赖特,布莱尔,希拉克,施罗德,,金大中
2001,江泽民,朱镕基,克林顿/布什,奥尔布赖特/鲍威尔,布莱尔,希拉克,施罗德,,金大中
2002,江泽民/胡锦涛,朱镕基,布什,鲍威尔,布莱尔,希拉克,施罗德,小泉,金大中
2003,胡锦涛,朱镕基/温家宝,布什,鲍威尔,布莱尔,希拉克,施罗德,小泉,金大中/卢武铉
2004,胡锦涛,温家宝,布什,鲍威尔,布莱尔,希拉克,施罗德,小泉,卢武铉
2005,胡锦涛,温家宝,布什,鲍威尔/赖斯,布莱尔,希拉克,施罗德/默克尔,小泉,卢武铉
2006,胡锦涛,温家宝,布什,赖斯,布莱尔,希拉克,默克尔,小泉/安倍晋三,卢武铉
2007,胡锦涛,温家宝,布什,赖斯,布莱尔/布朗,希拉克/萨科齐,默克尔,安倍晋三/福田,卢武铉
2008,胡锦涛,温家宝,布什,赖斯,布朗,萨科齐,默克尔,福田/麻生太郎,卢武铉/李明博
2009,胡锦涛,温家宝,布什/奥巴马,赖斯/希拉里,布朗,萨科齐,默克尔,麻生太郎/鸠山由纪夫,李明博
2010,胡锦涛,温家宝,奥巴马,希拉里,布朗/卡梅伦,萨科齐,默克尔,,李明博
2011,胡锦涛,温家宝,奥巴马,希拉里,卡梅伦,萨科齐,默克尔,,李明博
2012,胡锦涛/习近平,温家宝,奥巴马,希拉里,卡梅伦,,默克尔,野田/安倍晋三,李明博
2013,习近平,温家宝/李克强,奥巴马,希拉里/克里,卡梅伦,,默克尔,安倍晋三,李明博/朴槿惠
2014,习近平,李克强,奥巴马,克里,卡梅伦,,默克尔,安倍晋三,朴槿惠
2015,习近平,李克强,奥巴马,克里,卡梅伦,,默克尔,安倍晋三,朴槿惠
2016,习近平,李克强,奥巴马,克里,,,默克尔,安倍晋三,朴槿惠
2017,习近平,李克强,奥巴马/特朗普,,,,默克尔,安倍晋三,朴槿惠/文在寅
2018,习近平,李克强,特朗普,蓬佩奥,,,默克尔,安倍晋三,文在寅
2019,习近平,李克强,特朗普,蓬佩奥,,,默克尔,安倍晋三,文在寅
2020,习近平,李克强,特朗普,蓬佩奥,约翰逊,,默克尔,安倍晋三/菅义伟,文在寅
2021,习近平,李克强,特朗普/拜登,,约翰逊,,,菅义伟/岸田文雄,文在寅
2022,习近平,李克强,拜登,,,,,岸田文雄,文在寅/尹锡悦
2023,习近平,李克强/李强,拜登,,,,,岸田文雄,尹锡悦
