year,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
1976,黎巴嫩,各方,中东,争吵,导致,武装冲突,并未,以色列,紧张局势,东西方
1977,非洲之角,中东,以色列,冲突,美苏,中东问题,在会谈中,加剧,和平解决,埃及
1978,柬越,近东,非洲之角,以色列,中东,火上加油,欧加登,加剧,中东问题,同苏
1979,坦乌,冲突,伊美,军事冲突,各方,美伊,以色列,中东,缓和,伊朗
1980,两伊,这场,冲突,美伊,叙约,和平解决,两派,苏侵,教族,美苏
1981,阿以,两伊,冲突,中东,黎巴嫩,以色列,陷入僵局,缓和,教派,中东地区
1982,两伊,英阿,阿以,马岛,对英,冲突,中东,非洲之角,希土,加剧
1983,两伊,乍得,冲突,中东地区,中美洲地区,各方,交战,无助于,中东,黎
1984,两伊,阿以,中美洲地区,冲突,采取行动,以色列,乍得,苏美,黎,黎巴嫩
1985,两伊,冲突,中美洲地区,阿以,中东,中东地区,东西方,停火,以色列,缓和
1986,美利,两伊,阿以,表示遗憾,冲突,地中海地区,旷日持久,中东,暂告,中东地区
1987,两伊,乍利,海湾战争,冲突,中东,缓和,激化,阿以,中东地区,停火
1988,阿以,两伊,激化,冲突,海湾战争,中美洲地区,两派,新喀岛,美巴,平息
1989,阿以,两伊,两派,紧张局势,冲突,以色列,黎巴嫩,中东,阿富汗,激化
1990,阿以,伊科,两伊,海湾,印巴,中东,巴解,冲突,中东地区,巴解组织
1991,阿以,海湾战争,海湾,冲突,再起,中东地区,和平解决,紧张局势,以色列,和平谈判
1992,和平解决,冲突,两派,中东,波黑,中东地区,族际,阿以,武装冲突,叙
1993,冲突,阿以,和平解决,阿布哈兹,纳卡,叙以,俄格,武装冲突,和平谈判,中东
1994,冲突,和平解决,阿以,叙以,俄国,波黑,两派,和谈,各方,纳卡
1995,恰州,阿以,叙以,冲突,和平解决,和谈,恰帕斯,叙,两伊,以巴
1996,黎以,阿以,冲突,巴以,以巴,和谈,叙,叙以,各派,调解人
1997,以巴,阿以,巴以,冲突,巴,和谈,美伊,叙,两派,阿富汗
1998,以巴,和平解决,埃厄,阿布哈兹,冲突,巴以,和谈,阿以,美伊,巴
1999,阿以,冲突,埃厄,印巴,阿富汗,巴尔干,叙以,和谈,克什米尔,巴尔干地区
2000,阿以,对巴以,巴以,以巴,冲突,巴,叙以,埃厄,印巴,和谈
2001,以巴,巴以,平息,冲突,阿以,中东,印巴,对巴以,流血冲突,中东地区
2002,以巴,巴以,冲突,对巴以,印巴,阿以,平息,中东地区,巴印,和谈
2003,以巴,巴以,冲突,巴,和谈,激化,缓和,旷日持久,阿以,巴印
2004,以巴,巴以,冲突,阿以,火上浇油,印巴,各派,和谈,乌,以色列
2005,巴以,以巴,冲突,和谈,对科,各派,以色列,流血冲突,停火,年巴以
2006,黎以,以黎,巴以,冲突,对黎以,以巴,中东地区,核危机,美伊,伊
2007,黎以,巴以,以巴,阿以,冲突,停火,两派,以黎,政治派别,巴勒斯坦
2008,以巴,俄格,冲突,巴以,和谈,伊拉克,以色列,停火,格鲁吉亚,以黎
2009,俄格,冲突,巴以,以巴,俄乌,对巴以,武装冲突,以色列,以方,印巴
2010,俄格,冲突,激化,以色列,和谈,缓和,南奥塞梯,以方,伊,巴以
2011,冲突,泰柬,以色列,和谈,叙利亚,伊拉克,阿富汗,巴以,柬泰,军事冲突
2012,冲突,叙政府,土叙,和谈,以色列,叙,塔利班,缓和,中东地区,撤军
2013,冲突,停火,塔利班,叙利亚,以色列,缓和,巴以,平息,和谈,伊朗
2014,乌克兰,冲突,和谈,俄乌,巴以,局势,以巴,巴,停火,缓和
2015,乌克兰,冲突,停火,叙利亚,美俄,阿富汗,叙,塔利班,乌,和谈
2016,纳卡,俄美,停火,叙利亚,美俄,冲突,乌克兰,叙,和谈,塔利班
2017,冲突,叙利亚,停火,和谈,阿富汗,缓和,巴以,反对派,重启,停火协议
2018,叙利亚,冲突,中东地区,停火协议,伊朗,阿富汗,塔利班,美俄,也门,美欧
2019,冲突,塔利班,巴以,阿富汗,叙利亚,美俄,撤军,激化,利比亚,和谈
2020,美伊,冲突,利比亚,中东地区,紧张局势,阿富汗,叙利亚,缓和,停火,和谈
2021,巴以,冲突,阿富汗,停火,紧张局势,激化,缓和,塔利班,和谈,叙利亚
2022,俄乌,冲突,乌克兰,和谈,长期化,和平解决,拱火,停火,缓和,火上浇油
2023,俄乌,冲突,巴以,缓和,巴,乌克兰,和平解决,对巴以,当事方,紧张局势
